Anyo,Mes,Dia,Ventas,Prediccion
2017,4,27,1587,1295.3051132932828
2017,4,30,2902,1896.5013230057946
2017,5,1,2308,2101.6986663998046
2017,5,11,1678,1624.5432154567332
2017,5,18,1757,1502.4546128869138
2017,5,21,2336,2212.312776437482
2017,5,23,1427,1688.4557173498958
2017,5,28,2290,2185.910785585553
2017,6,5,1659,1573.0219395948207
2017,6,7,1496,1667.5059020365572
2017,6,17,2395,2448.371383615444
2017,6,18,2832,2272.9014491233156
2017,6,22,2097,1773.1626479783129
2017,6,23,2793,1773.1626479783129
2017,7,2,2979,3194.424339901913
2017,7,4,2402,2626.9963780606568
2017,7,6,2537,1977.523113314796
2017,7,7,2659,1882.9168775700095
2017,7,11,2667,2678.5176539225695
2017,7,13,2766,2705.0880249754023
2017,7,14,3262,2705.0880249754023
2017,7,15,3586,3422.505206591439
2017,7,17,2792,2705.0880249754023
2017,7,18,2455,2705.0880249754023
2017,7,21,3170,2672.9228138025605
2017,7,23,3683,3187.554149592633
2017,7,27,2826,2672.9228138025605
2017,7,28,3186,2703.9681782923467
2017,7,29,3740,3388.3920522534354
2017,7,31,2995,2803.081820096558
2017,8,2,3247,2926.958618247436
2017,8,3,2875,2926.958618247436
2017,8,5,3932,3547.0119909800896
2017,8,6,3754,3344.2261451541253
2017,8,9,3577,2925.683268058165
2017,8,16,794,2919.982846595667
2017,8,17,76,2919.982846595667
2017,8,19,4056,3533.970787993383
2017,8,22,3471,2887.8176354228253
2017,8,24,3451,2887.8176354228253
2017,8,26,3662,3507.871008155479
2017,8,27,3373,2616.6299831997785
2017,8,30,2035,2219.97840839493
2017,8,31,2156,2269.0582839985886
2017,9,3,2922,2438.9636381779296
2017,9,5,2152,1934.3723999411689
2017,9,8,2494,1933.097049751898
2017,9,11,1833,1933.097049751898
2017,9,13,1727,1917.1983962891898
2017,9,18,1799,1705.2494963481315
2017,9,19,1525,1699.9789056166298
2017,9,20,1462,1695.5998609238657
2017,9,23,2382,2323.8423929512196
2017,9,25,1527,1695.5998609238657
2017,9,26,1406,1673.0842851752902
2017,9,30,2296,2411.470344606989
2017,10,6,2104,1830.3388366728852
2017,10,7,1967,2180.7455860530017
2017,10,12,2166,2127.7015246843134
2017,10,14,1999,2185.292317546162
2017,10,15,1951,2127.7015246843134
2017,10,19,1291,1381.6526239089771
2017,10,21,1588,2006.36949948984
2017,10,22,1767,1970.4994417731305
2017,10,23,1245,1418.9488109300771
2017,10,28,1848,2045.3973147062195
2017,11,4,1672,1731.7417278965993
2017,11,7,845,1210.3815402655814
2017,11,9,897,1173.1971696944984
2017,11,10,1359,1219.9411977274776
2017,11,13,949,1107.4931197708047
2017,11,17,1619,1237.0277901406853
2017,11,18,1473,1929.0074011134932
2017,11,23,843,1134.4372129600997
2017,11,27,665,1046.575672101632
2017,11,29,493,1055.7659489809646
2017,12,2,864,1557.9871473204744
2017,12,13,450,902.4190412563706
2017,12,14,426,874.2578816580182
2017,12,16,965,1544.4850619239712
2017,12,21,599,1081.628796571278
2017,12,23,879,1777.2664852839869
2017,12,26,891,1177.5889581785784
2017,12,27,975,1167.253994474761
2017,12,29,1048,1530.0931106675448
2018,1,1,1934,1882.6187055341945
2018,1,10,642,747.7943805028526
2018,1,15,461,797.0388239483817
2018,1,18,695,741.8574237664851
2018,1,24,492,893.8894649159652
2018,1,25,639,822.5069442755794
2018,1,26,829,822.5069442755794
2018,1,28,1046,1404.4655556191335
2018,1,29,738,880.9929453448004
2018,1,31,640,912.4193761292983
2018,2,5,819,764.8741697910137
2018,2,8,695,762.9175320539032
2018,2,12,696,865.0740621153224
2018,2,15,1032,865.0740621153224
2018,2,16,1099,997.910750504146
2018,2,17,1451,1576.5511028057201
2018,2,22,866,877.8839984728368
2018,2,23,1121,912.5087896957812
2018,2,24,1281,1511.8900475326877
2018,2,25,1491,1527.0264559892018
2018,2,26,715,1076.9902489070848
2018,2,27,660,793.491733939458
2018,3,7,769,1031.1903636895602
2018,3,8,959,1029.2337259524497
2018,3,9,1304,1171.5231466722928
2018,3,10,1595,1824.9165996456147
2018,3,11,1500,1656.9497144443244
2018,3,12,916,1307.7163507470732
2018,3,13,1014,1381.9858214311816
2018,3,23,1406,1402.8182867457506
2018,3,27,1239,1574.2027158068402
2018,3,28,1744,1393.783488801137
2018,3,30,2593,1644.7896875801737
2018,4,3,1167,1469.6736851977935
2018,4,7,1766,1955.7313601391943
2018,4,8,1781,1937.9589609122213
2018,4,10,1003,1139.9665686614237
2018,4,12,1112,1249.8859079671365
2018,4,13,1605,1374.1441227962855
2018,4,23,1247,1651.9602444263971
2018,4,24,1296,1618.530106109851
2018,4,25,1105,1671.2214556346482
2018,5,1,2434,1928.399303450325
2018,5,14,1455,1557.7068847767493
2018,5,15,1379,1684.1254555992384
2018,5,18,2467,1627.4083322639221
2018,5,26,2188,2237.235628158058
2018,5,27,2293,2255.267494172685
2013,5,10,1607,1502.398745043283
2013,5,13,905,1545.7071661552125
2013,5,14,848,1514.499984085191
2013,5,15,903,1614.612027685114
2013,5,17,1355,1678.4574084549824
2013,5,22,1143,1493.807165146182
2013,5,23,997,1525.0143472162033
2013,5,28,949,1492.5043918914462
2013,5,30,1157,1519.725233971779
2013,6,3,1017,1483.0342642879777
2013,6,7,1406,1645.7063736639916
2013,6,12,712,1593.7956019939852
2013,6,23,1393,1758.9260155502884
2013,6,24,1234,1573.102783054976
2013,7,3,1487,1655.126449510192
2013,7,9,1243,1674.4909302654974
2013,7,11,1331,1674.4909302654974
2013,7,13,1408,1924.1219607808957
2013,7,17,1273,1717.7993513774268
2013,7,21,1411,1828.9388018768211
2013,7,25,1254,1697.1065324384176
2013,7,27,1376,1868.8520690028356
2013,8,10,1646,1909.837751531197
2013,8,13,1806,1717.7993513774268
2013,8,14,1366,1717.7993513774268
2013,8,22,1411,1697.1065324384176
2013,8,23,1571,1697.1065324384176
2013,8,26,1890,1697.1065324384176
2013,8,30,1635,1723.2059522059697
2013,9,1,1375,1702.5282911690183
2013,9,3,1570,1567.2158352491572
2013,9,4,1403,1567.2158352491572
2013,9,14,1719,1800.4690891388773
2013,9,17,1030,1530.0892599909175
2013,9,18,1227,1530.0892599909175
2013,9,19,1308,1536.5124260802404
2013,9,21,1969,1719.199236936835
2013,9,27,1351,1521.8850384761688
2013,9,28,2044,1821.2090988026785
2013,10,2,861,1519.1273994103844
2013,10,3,1026,1519.1273994103844
2013,10,12,1658,1714.8723995605212
2013,12,2,896,1691.470349591776
2013,12,3,864,1717.1873149324929
2013,12,4,1329,1690.7465139550095
2013,12,5,1515,1988.4461273711972
2013,12,7,2736,2400.283939168482
2013,12,11,1176,1732.7326480833196
2013,12,15,2338,2081.960944438743
2013,12,16,1083,1777.1716382847785
2013,12,19,1310,1819.881511587495
2013,12,20,2376,1990.6153713672734
2013,12,24,1093,1412.3157604803555
2013,12,30,3066,2743.572695539068
2014,1,25,2034,1773.6274161754955
2014,2,7,1797,1658.004557233612
2014,2,9,1425,1834.2826268909564
2014,2,13,1527,1648.2429692313126
