Id_heladeria,Des_Heladeria,Comunidad_Autonoma,Consumo_In_Situ,Productos_Premium,HorasAbierto,Fecha,Anyo,Mes,Dia,Tipo,Temperatura,Ventas
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,3,0,24.1,943
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,4,0,23,1388
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,5,1,24.1,1643
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,6,2,22.9,1427
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,7,0,23.1,989
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,8,0,23.6,927
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,9,0,23.6,1183
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,10,0,24.4,796
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,11,0,22.6,1178
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,12,3,20.4,1599
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,13,2,17.6,1394
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,14,0,20.8,985
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,15,0,21.1,863
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,16,0,22.4,881
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,17,0,24.6,896
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,18,0,24.3,1271
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,19,1,21.4,1445
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,20,2,19.7,1202
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,21,0,20.3,901
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,22,0,15.6,816
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,23,0,19,746
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,24,0,19.3,912
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,25,0,16.9,1276
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,26,1,18.6,1401
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,27,2,19.7,1356
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,28,0,19.7,986
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,29,0,14.9,758
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,30,0,15.1,768
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,31,0,16,1279
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,1,3,16.6,2213
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,2,1,17.3,1840
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,3,2,0,1189
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,4,0,0,681
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,5,0,20.9,513
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,6,0,20.4,772
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,7,0,15.6,734
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,8,0,15.2,1059
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,9,0,14.9,1216
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,10,2,17.1,1140
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,11,0,19.2,886
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,12,0,20.1,975
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,13,0,18.2,736
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,14,0,16.4,835
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,15,0,11.6,1045
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,16,1,7.6,911
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,17,2,6.7,763
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,18,0,11.2,555
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,19,0,13.3,524
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,20,0,9.1,325
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,22,0,10.9,787
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,23,1,9.8,874
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,24,2,10.9,860
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,25,0,12.7,443
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,26,0,11,420
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,27,0,10.2,490
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,28,0,7.9,314
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,29,0,9.3,553
